"Date_Nominated","Name_of_Nominee","Court_to_Which_Nominated","ABA_Rating","President","Congress"
"12/19/01","Rogers, John M. (KY)","Sixth Circuit","Q","W. Bush",107
"","","","","W. Bush",107
"12/19/01","Stanceu, Timothy","Court of International Trade","Q","W. Bush",107
"","","","","W. Bush",107
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",107
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Marra, Kenneth A.","USDC: Southern District of Florida","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Anderson, Percy","USDC: Central District of California","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Martinez, Jose E.","USDC: Southern District of Florida","Q","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Africk, Lance M.","USDC: Eastern District of Louisiana","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Chesler, Stanley R.","USDC: District of New Jersey","WQ","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Rohlfing, Frederick W., III","USDC: District of Hawaii","","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Lancaster, Joan E.","USDC: District of Minnesota","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Martini, William J.","USDC: District of New Jersey","Qm/NQmin","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Rose, Thomas M.","USDC: Southern District of Ohio","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Baylson, Michael M.","USDC: Eastern District of Pennsylvania","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Conti, Joy F.","USDC: Western District of Pennsylvania","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Davis, Legrome D.","USDC: Eastern District of Pennsylvania","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"1/23/02","McVerry, Terrence F.","USDC: Western District of Pennsylvania","WQ","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Rufe, Cynthia M.","USDC: Eastern District of Pennsylvania","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Schwab, Arthur J.","USDC: Western District of Pennsylvania","Qsm/WQmin","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Mays, Samuel H. Jr.","USDC: Western District of Tennessee","Q","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Clark, Ronald H.","USDC: Eastern District of Texas","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Davis, Leonard E.","USDC: Eastern District of Texas","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Godbey, David C.","USDC: Northern District of Texas","WQ","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Hanen, Andrew S.","USDC: Southern District of Texas","WQ","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Hudson, Henry E.","USDC: Eastern District of Virginia","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Leighton, Ronald B.","USDC: Western District of Washington","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Griesbach, William C.","USDC: Eastern District of Wisconsin","WQ","W. Bush",107
"","","","","W. Bush",107
"1/23/02","Walter, John F.","USDC: Central District of California","WQ","W. Bush",107
"","","","","W. Bush",107
"2/28/02","Conner, Christopher C.","USDC: Middle District of Pennsylvania","WQ","W. Bush",107
"","","","","W. Bush",107
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",107
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",107
"","","","","W. Bush",107
"2/28/02","Jones, John E. III","USDC: Middle District of Pennsylvania","WQm/Qmin","W. Bush",107
"","","","","W. Bush",107
"3/21/02","Autrey, Henry E.","USDC: Eastern District of Missouri","Q","W. Bush",107
"","","","","W. Bush",107
"3/21/02","Dorr, Richard E.","USDC: Western District of Missouri","Q","W. Bush",107
"","","","","W. Bush",107
"3/21/02","Savage, Timothy J.","USDC: Eastern District of Pennsylvania","WQm/Qmin","W. Bush",107
"","","","","W. Bush",107
"3/21/02","Cercone, David S.","USDC: Western District of Pennsylvania","Q","W. Bush",107
"","","","","W. Bush",107
"3/21/02","England, Jr., Morrison C.","USDC: Eastern District of California","WQm/Qmin","W. Bush",107
"","","","","W. Bush",107
"3/21/02","St. Eve, Amy J.","USDC: Northern District of Illinois","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"4/22/02","Gardner, James K.","USDC: Eastern District of Pennsylvania","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"5/1/02","Raggi, Reena (NY)","Second Circuit","WQ","W. Bush",107
"","","","","W. Bush",107
"5/22/02","Bybee, Jay S. (NV)","Ninth Circuit","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"5/22/02","Corrigan, Timothy J.","USDC: Middle District of Florida","WQ","W. Bush",107
"","","","","W. Bush",107
"5/22/02","Dever, James C. III","USDC: Eastern District of North Carolina","Q","W. Bush",107
"","","","","W. Bush",107
"6/26/02","Griffin, Richard A. (MI)","Sixth Circuit","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"6/26/02","Hovland, Daniel L.","USDC: District of North Dakota","Q","W. Bush",107
"","","","","W. Bush",107
"6/26/02","Phillips, Thomas W.","USDC: Eastern District of Tennessee","WQ","W. Bush",107
"","","","","W. Bush",107
"6/26/02","Reade, Linda R.","USDC: Northern District of Iowa","WQ","W. Bush",107
"","","","","W. Bush",107
"7/11/02","Ludlum, Alia M.","USDC: Western District of Texas","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"7/18/02","Otero, S. James","USDC: Central District of California","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"7/18/02","Klausner, Robert G.","USDC: Central District of California","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"","","","Qsm/","W. Bush",107
"7/18/02","Junell, Robert A.","USDC: Western District of Texas","WQmin/NQmin","W. Bush",107
"","","","","W. Bush",107
"7/18/02","Kinkeade, James E. (a/k/a Ed Kinkeade)","USDC: Northern District of Texas","WQ","W. Bush",107
"","","","","W. Bush",107
"7/18/02","Smith, William E.","USDC: District of Rhode Island","Q","W. Bush",107
"","","","","W. Bush",107
"7/25/02","White, Jeffrey S.","USDC: Northern District of California","Qsm/WQmin","W. Bush",107
"","","","","W. Bush",107
"7/25/02","Jordan, Kent A.","USDC: District of Delaware","WQ","W. Bush",107
"","","","","W. Bush",107
"7/25/02","Feuerstein, Sandra J.","USDC: Eastern District of New York","WQ","W. Bush",107
"","","","","W. Bush",107
"8/2/02","Fuller, Mark E.","USDC: Middle District of Alabama","Qsm/NQmin","W. Bush",107
"","","","","W. Bush",107
"8/2/02","Collyer, Rosemary M.","USDC: District of the District of Columbia","WQ","W. Bush",107
"","","","","W. Bush",107
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",107
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",107
"","","","","W. Bush",107
"8/2/02","Kugler, Robert B.","USDC: District of New Jersey","WQ","W. Bush",107
"","","","","W. Bush",107
"8/2/02","Linares, Jose L.","USDC: District of New Jersey","WQ","W. Bush",107
"","","","","W. Bush",107
"8/2/02","Wolfson, Freda L.","USDC: District of New Jersey","WQ","W. Bush",107
"","","","","W. Bush",107
"8/2/02","Holwell, Richard J.","USDC: Southern District of New York","WQ","W. Bush",107
"","","","","W. Bush",107
"8/2/02","Frost, Gregory L.","USDC: Southern District of Ohio","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"9/12/02","Erickson, Ralph R.","USDC: District of North Dakota","Qsm/NQmin","W. Bush",107
"","","","","W. Bush",107
"9/12/02","Hicks, S. Maurice Jr.","USDC: Western District of Louisiana","","W. Bush",107
"","","","","W. Bush",107
"9/12/02","Ludington, Thomas L.","USDC: Eastern District of Michigan","WQ","W. Bush",107
"","","","","W. Bush",107
"9/12/02","Quarles, William D. Jr.","USDC: District of Maryland","WQsm/Qmin","W. Bush",107
"","","","","W. Bush",107
"10/10/02","Carney, Cormac J.","USDC: Central District of California","","W. Bush",107
"","","","","W. Bush",107
"10/10/02","Adams, John R.","USDC: Northern District of Ohio","","W. Bush",107
"","","","","W. Bush",107
"10/10/02","Breen, J. Daniel","USDC: Western District of Tennessee","","W. Bush",107
"","","","","W. Bush",107
"10/10/02","Varlan, Thomas A.","USDC: Eastern District of Tennessee","","W. Bush",107
"","","","","W. Bush",108
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",108
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Boyle, Terrence W. (NC)","Fourth Circuit","Q","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Bybee, Jay S. (NV)","Ninth Circuit","WQsm/Qmin","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Cook, Deborah L. (OH)","Sixth Circuit","Q","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Estrada, Miguel A. (VA)","DC Circuit","WQ","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Griffin, Richard A. (MI)","Sixth Circuit","WQsm/Qmin","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Kuhl, Carolyn B. (CA)","Ninth Circuit","WQsm/Qmin","W. Bush",108
"","","","","W. Bush",108
"1/7/03","McKeague, David W. (MI)","Sixth Circuit","WQsm/Qmin","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Neilson, Susan Bieke (MI)","Sixth Circuit","WQ","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Owen, Priscilla Richman (TX)","Fifth Circuit","WQ","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Pickering, Charles W. Sr. (MS)","Fifth Circuit","WQsm/Qmin","W. Bush",108
"1/7/03","Roberts, John G. Jr. (MD)","DC Circuit","WQ","W. Bush",108
"1/7/03","Saad, Henry W. (MI)","Sixth Circuit","Qm/WQmin","W. Bush",108
"1/7/03","Sutton, Jeffrey S. (OH)","Sixth Circuit","Qsm/WQmin","W. Bush",108
"1/7/03","Tymkovich, Timothy M. (CO)","Tenth Circuit","Qsm/NQmin","W. Bush",108
"1/7/03","Adams, John R.","USDC: Northern District of Ohio","Q","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Breen, J. Daniel","USDC: Western District of Tennessee","WQ","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Carney, J. Cormac","USDC: Central District of California","Qsm/ minabstain","W. Bush",108
"","","","","W. Bush",108
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",108
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Dever, James C. III","USDC: Eastern District of North Carolina","Q","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Erickson, Ralph R.","USDC: District of North Dakota","Qsm/NQmin","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Feuerstein, Sandra J.","USDC: Eastern District of New York","WQ","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Frost, Gregory L.","USDC: Southern District of Ohio","WQsm/Qmin","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Hicks, S. Maurice Jr.","USDC: Western District of Louisiana","Qsm/NQmin","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Holwell, Richard J.","USDC: Southern District of New York","WQ","W. Bush",108
"","","","","W. Bush",108
"","","","Qsm/WQmin/","W. Bush",108
"1/7/03","Junell, Robert A.","USDC: Western District of Texas","NQmin","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Ludington, Thomas L.","USDC: Eastern District of Michigan","WQ","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Otero, S. James","USDC: Central District of California","WQsm/Qmin","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Quarles, William D. Jr.","USDC: District of Maryland","WQsm/Qmin","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Rohlfing, Frederick W. III","USDC: District of Hawaii","NQ","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Varlan, Thomas A.","USDC: Eastern District of Tennessee","Qm/NQmin","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Steele, William H.","USDC: Southern District of Alabama","Q","W. Bush",108
"","","","","W. Bush",108
"1/7/03","Stanceu, Timothy C.","Court of International Trade","Q","W. Bush",108
"","","","","W. Bush",108
"1/15/03","Minaldi, Patricia H.","USDC: Western District of Louisiana","Q","W. Bush",108
"1/15/03","Drell, Dee D.","USDC: Western District of Louisiana","WQ","W. Bush",108
"","","","","W. Bush",108
"","","","Q","W. Bush",108
"1/15/03","Altonaga, Cecilia M.","USDC: Southern District of Florida","1 recusal","W. Bush",108
"1/29/03","Bennett, Richard D.","USDC: District of Maryland","WQ","W. Bush",108
"1/29/03","Flanagan, Louise W.","USDC: Eastern District of North Carolina","Q","W. Bush",108
"1/29/03","Holmes, J. Leon","USDC: Eastern District of Arkansas","WQsm/Qmin","W. Bush",108
"","","","","W. Bush",108
"1/29/03","Selna, James V.","USDC: Central District of California","WQsm/abstainmin","W. Bush",108
"1/29/03","Simon, Philip P.","USDC: Northern District of Indiana","WQsm/Qmin","W. Bush",108
"1/29/03","Springmann, Theresa Lazar","USDC: Northern District of Indiana","WQ","W. Bush",108
"2/6/03","Prado, Edward C. (TX)","Fifth Circuit","WQ","W. Bush",108
"2/12/03","Callahan, Consuelo Maria (CA)","Ninth Circuit","WQsm/Qmin","W. Bush",108
"","","","","W. Bush",108
"","","","Qsm/WQmin/","W. Bush",108
"2/12/03","Colloton, Steven M. (IA)","Eighth Circuit","NQmin","W. Bush",108
"","","","","W. Bush",108
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",108
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",108
"3/5/03","Chertoff, Michael (NJ)","Third Circuit","WQ","W. Bush",108
"3/5/03","Wesley, Richard C. (NY)","Second Circuit","WQ","W. Bush",108
"3/5/03","Robinson, Stephen C.","USDC: Southern District of New York","WQ","W. Bush",108
"3/5/03","Castel, P. Kevin","USDC: Southern District of New York","WQ","W. Bush",108
"3/5/03","Der-Yeghiayan, Samuel","USDC: Northern District of Illinois","Q","W. Bush",108
"3/13/03","Campbell, David G.","USDC: District of Arizona","WQ","W. Bush",108
"3/27/03","Woodcock, John A. Jr.","USDC: District of Maine","WQ","W. Bush",108
"3/27/03","Kravitz, Mark R.","USDC: District of Connecticut","WQ","W. Bush",108
"3/27/03","Coogler, L. Scott","USDC: Northern District of Alabama","Q","W. Bush",108
"4/9/03","Greer, J. Ronnie","USDC: Eastern District of Tennessee","Q","W. Bush",108
"4/9/03","Hardiman, Thomas M.","USDC: Western District of Pennsylvania","Qsm/NQmin","W. Bush",108
"","","","","W. Bush",108
"","","","Qsm/NQmin","W. Bush",108
"4/9/03","Pryor, William H. Jr. (AL)","Eleventh Circuit","1 recusal","W. Bush",108
"4/11/03","Bea, Carlos T. (CA)","Ninth Circuit","Qsm/NQmin","W. Bush",108
"4/28/03","Duncan, Allyson K. (NC)","Fourth Circuit","WQ","W. Bush",108
"","","","","W. Bush",108
"","Allen, Claude A. (VA)","","","W. Bush",108
"4/28/03*","*withdrawn 12/9/03, renominated 1/20/04","Fourth Circuit","Qsm/NQmin","W. Bush",108
"4/28/03","Brack, Robert C.","USDC: District of New Mexico","WQ","W. Bush",108
"4/28/03","Browning, James O.","USDC: District of New Mexico","WQ","W. Bush",108
"4/28/03","Conrad, Glen E.","USDC: Western District of Virginia","WQ","W. Bush",108
"4/28/03","Conrad, Robert J. Jr.","USDC: Western District of North Carolina","Q","W. Bush",108
"4/28/03","Filip, Mark R.","USDC: Northern District of Illinois","WQsm/Qmin","W. Bush",108
"4/28/03","Gibson, Kim R.","USDC: Western District of Pennsylvania","WQ","W. Bush",108
"4/28/03","Irizarry, Dora L.","USDC: Eastern District of New York","NQm/Qmin","W. Bush",108
"4/28/03","McKnight, H. Brent","USDC: Western District of North Carolina","WQ","W. Bush",108
"4/28/03","Ryan, Daniel P.","USDC: Eastern District of Michigan","Qm/NQmin","W. Bush",108
"4/28/03","Sharpe, Gary L.","USDC: Northern District of New York","WQ","W. Bush",108
"4/28/03","Suko, Lonny R.","USDC: Eastern District of Washington","WQ","W. Bush",108
"","","","","W. Bush",108
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",108
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",108
"5/1/03","Fisher, D. Michael (PA)","Third Circuit","WQsm/Qmin","W. Bush",108
"5/1/03","Benitez, Roger T.","USDC: Southern District of California","NQsm/Qmin","W. Bush",108
"5/1/03","Burns, Larry Alan","USDC: Southern District of California","WQ","W. Bush",108
"5/1/03","Cardone, Kathleen","USDC: Western District of Texas","WQsm/Qmin","W. Bush",108
"5/1/03","Cohn, James I.","USDC: Southern District of Florida","WQsm/Qmin","W. Bush",108
"5/1/03","Crone, Marcia A.","USDC: Eastern District of Texas","Qsm/NQmin","W. Bush",108
"5/1/03","Fischer, Dale S.","USDC: Central District of California","WQ","W. Bush",108
"5/1/03","Hayes, William Q.","USDC: Southern District of California","Q","W. Bush",108
"5/1/03","Houston, John A.","USDC: Southern District of California","WQsm/Qmin","W. Bush",108
"5/1/03","Montalvo, Frank","USDC: Western District of Texas","WQ","W. Bush",108
"5/1/03","Proctor, R. David","USDC: Northern District of Alabama","Q","W. Bush",108
"5/1/03","Rodriguez, Xavier","USDC: Western District of Texas","WQ","W. Bush",108
"5/1/03","Sabraw, Dana Makoto","USDC: Southern District of California","WQ","W. Bush",108
"5/1/03","Yeakel, Earl Leroy III","USDC: Western District of Texas","Qm/WQmin","W. Bush",108
"5/8/03","Mosman, Michael W.","USDC: District of Oregon","WQ","W. Bush",108
"5/15/03","Myers, William Gerry III (ID)","Ninth Circuit","Qm/NQmin","W. Bush",108
"5/15/03","Floyd, Henry F.","USDC: District of South Carolina","WQ","W. Bush",108
"5/15/03","White, Ronald A.","USDC: Eastern District of Oklahoma","Q","W. Bush",108
"6/9/03","Jones, Robert Clive","USDC: District of Nevada","WQsm/Qmin","W. Bush",108
"6/9/03","Figa, Phillip S.","USDC: District of Colorado","WQsm/Qmin","W. Bush",108
"6/18/03","Titus, Roger W.","USDC: District of Maryland","WQ","W. Bush",108
"7/14/03","Rodgers, Margaret Catharine","USDC: Northern District of Florida","WQm/Qmin","W. Bush",108
"7/25/03","Brown, Janice R. (CA)","DC Circuit","Qm/NQmin","W. Bush",108
"7/25/03","Kavanaugh, Brett M. (MD)","DC Circuit","WQsm/Qmin","W. Bush",108
"7/30/03","Saylor, F. Dennis IV","USDC: District of Massachusetts","WQsm/Qmin","W. Bush",108
"8/1/03","Townes, Sandra L.","USDC: Eastern District of New York","WQ","W. Bush",108
"9/18/03","Karas, Kenneth M.","USDC: Southern District of New York","WQsm/Qmin","W. Bush",108
"","","","","W. Bush",108
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",108
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",108
"9/23/03","Herrera, Judith C.","USDC: District of New Mexico","WQsm/Qmin","W. Bush",108
"9/23/03","Guirola, Louis Jr.","USDC: Southern District of Mississippi","WQ","W. Bush",108
"9/29/03","Gruender, Raymond W. (MO)","Eighth Circuit","Q","W. Bush",108
"9/29/03","Haynes, William James II (VA)","Fourth Circuit","WQsm/Qmin","W. Bush",108
"10/14/03","Hopkins, Virginia E.","USDC: Northern District of Alabama","Qm/NQmin","W. Bush",108
"10/14/03","Martinez, Ricardo S.","USDC: Western District of Washington","WQ","W. Bush",108
"10/22/03","Wake, Neil Vincent","USDC: District of Arizona","WQ","W. Bush",108
"10/31/03","Kelley, Walter D. Jr.","USDC: Eastern District of Virginia","WQ","W. Bush",108
"","","","","W. Bush",108
"","","","WQsm/Qmin","W. Bush",108
"11/3/03","Pratter, Gene E.K.","USDC: Eastern District of Pennsylvania","1 recusal","W. Bush",108
"11/5/03","Sheridan, Peter G.","USDC: District of New Jersey","Q","W. Bush",108
"11/5/03","Duffey, William S. Jr.","USDC: Northern District of Georgia","WQ","W. Bush",108
"11/6/03","Stengel, Lawrence F.","USDC: Eastern District of Pennsylvania","WQsm/Qmin","W. Bush",108
"11/12/03","Sykes, Diane S. (WI)","Seventh Circuit","WQsm/Qmin","W. Bush",108
"11/21/03","Van Antwerpen, Franklin S. (PA)","Third Circuit","WQ","W. Bush",108
"11/24/03","Boyle, Jane J.","USDC: Northern District of Texas","WQ","W. Bush",108
"11/25/03","Cooke, Marcia G.","USDC: Southern District of Florida","WQ","W. Bush",108
"11/25/03","Gomez, Curtis V.","USDC: District of the Virgin Islands","Qm/WQmin","W. Bush",108
"11/25/03","Sanchez, Juan R.","USDC: Eastern District of Pennsylvania","WQ","W. Bush",108
"12/9/03","Hall, Peter W. (VT)","Second Circuit","WQ","W. Bush",108
"12/9/03","Robart, James L.","USDC: Western District of Washington","WQ","W. Bush",108
"","","","","W. Bush",108
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",108
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",108
"1/20/04","Diamond, Paul S.","USDC: Eastern District of Pennsylvania","WQ","W. Bush",108
"1/20/04","Harwell, Robert Bryan","USDC: District of South Carolina","Q","W. Bush",108
"1/20/04","Schiavelli, George P.","USDC: Central District of California","WQ","W. Bush",108
"2/2/04","Finch, Raymond L.","USDC: District of the Virgin Islands","Qsm/WQmin","W. Bush",108
"","","","See rating","W. Bush",108
"2/6/04","Pickering, Charles W. Sr. (MS)","Fifth Circuit","1/7/03","W. Bush",108
"2/12/04","Benton, William Duane (MO)","Eighth Circuit","WQ","W. Bush",108
"","","","See rating","W. Bush",108
"3/12/04","Pryor, William H. Jr. (AL)","Eleventh Circuit","4/9/03","W. Bush",108
"4/6/04","Watson, Michael H.","USDC: Southern District of Ohio","Qsm/NQmin","W. Bush",108
"4/20/04","Covington, Virginia Maria Hernandez","USDC: Middle District of Florida","WQ","W. Bush",108
"5/10/04","Griffith, Thomas B. (UT)","D.C. Circuit","Qm/NQmin","W. Bush",108
"5/17/04","Schneider, Michael H., Sr.","USDC: Eastern District of Texas","WQ","W. Bush",108
"6/16/04","Alvarez, Micaela","USDC: Southern District of Texas","Qm /NQmin","W. Bush",108
"7/6/04","Starrett, Keith","USDC: Southern District of Mississippi","WQ","W. Bush",108
"7/6/04","Boyko, Christopher A.","USDC:  Northern District of Ohio","WQ","W. Bush",108
"9/7/04","Crotty, Paul A","USDC: Southern District of New York","WQ","W. Bush",108
"9/10/04","Cox, Sean F.","U.S.D.C: Eastern District of Michigan","WQ","W. Bush",108
"","","","","W. Bush",108
"9/15/04","Seabright, J. Michael","U.S.D.C: District of Hawaii","WQsm/Qmin","W. Bush",108
"","","","","W. Bush",110
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",110
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",110
"1/9/07","Southwick, Leslie H. (MS)","Fifth Circuit","WQ","W. Bush",110
"","","","WQ","W. Bush",110
"1/9/07","Hardiman, Thomas M.  (PA)","Third Circuit","(1 abstention)","W. Bush",110
"1/9/07","Keisler, Peter D. (MD)","DC Circuit","WQ","W. Bush",110
"1/9/07","Livingston, Debra Ann (NY)","Second Circuit","WQ","W. Bush",110
"1/9/07","∗Smith, Norman Randy (ID)","Ninth Circuit","WQ","W. Bush",110
"1/9/07","Van Bokkelen, Joseph S.","USDC: Northern District of Indiana","WQ","W. Bush",110
"1/9/07","Bailey, John Preston","USDC: Northern District of West Virginia","Q","W. Bush",110
"1/9/07","Baker, Valerie L.","USDC: Central District of California","WQ","W. Bush",110
"1/9/07","Bryant, Vanessa Lynne","USDC: District of Connecticut","Qsm/NQmin","W. Bush",110
"1/9/07","Donohue, Mary O’Connor","USDC: Northern District of New York","WQsm/Qmin","W. Bush",110
"1/9/07","Farr, Thomas Alvin","USDC: Eastern District of North Carolina","WQ","W. Bush",110
"1/9/07","Fischer, Nora Barry","USDC: Western District of Pennsylvania","WQ","W. Bush",110
"1/9/07","Frizzell, Gregory Kent","USDC: Northern District of Oklahoma","WQ","W. Bush",110
"1/9/07","Gutierrez, Philip S.","USDC: Central District of California","WQ","W. Bush",110
"","","","","W. Bush",110
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",110
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",110
"1/9/07","Howard, Marcia Morales","USDC: Middle District of Florida","Qsm/WQmin","W. Bush",110
"1/9/07","Jarvey, John Alfred","USDC: Southern District of Iowa","WQ","W. Bush",110
"1/9/07","Kapala, Frederick J.","USDC:Northern District of Illinois","WQ","W. Bush",110
"1/9/07","Lioi, Sara Elizabeth","USDC: Northern District of Ohio","WQ","W. Bush",110
"1/9/07","Mauskopf, Roslynn Renee","USDC: Eastern District of New York","Q","W. Bush",110
"1/9/07","O'Grady, Liam","USDC: Eastern District of Virginia","WQ","W. Bush",110
"1/9/07","O'Neill, Lawrence Joseph","USDC: Eastern District of California","WQ","W. Bush",110
"1/9/07","Osteen, William Lindsay Jr.","USDC: Middle District of North Carolina","WQsm/Qmin","W. Bush",110
"1/9/07","Ozerden, Halil Suleyman","USDC: Southern District of Mississippi","Q","W. Bush",110
"1/9/07","Reidinger, Martin Karl","USDC: Western District of North Carolina","WQsm/Qmin","W. Bush",110
"","","","WQsm/Qmin","W. Bush",110
"1/9/07","Rogan, James Edward II","USDC: Central District of California","(  1 abstention)","W. Bush",110
"1/9/07","Schroeder, Thomas D.","USDC: Middle District of North Carolina","WQsm/Qmin","W. Bush",110
"1/9/07","Settle, Benjamin Hale","USDC: Western District of Washington","Q (1 abstention)","W. Bush",110
"1/9/07","Wood, Lisa Godbey","USDC: Southern District of Georgia","WQ","W. Bush",110
"1/9/07","Wright, Otis D. II","USDC: Central District of California","Q","W. Bush",110
"1/9/07","Wu, George H.","USDC: Central District of California","WQ","W. Bush",110
"1/16/07","Smith, Norman Randy (ID)","Ninth Circuit","WQ","W. Bush",110
"2/15/07","Sullivan, Richard","USDC: Southern District of New York","WQ","W. Bush",110
"2/15/07","DeGiusti, Timothy D.","USDC: Western District of Oklahoma","WQ","W. Bush",110
"3/19/07","Kethledge, Raymond M. (MI)","Sixth Circuit","WQsm/Qmin","W. Bush",110
"3/19/07","Murphy, Stephen Joseph III (MI)","Sixth Circuit","WQsm/Qmin","W. Bush",110
"3/19/07","Jonker, Robert James","USDC: Western District of Michigan","WQ","W. Bush",110
"3/19/07","Maloney, Paul Lewis","USDC: Western District of Michigan","WQ","W. Bush",110
"3/19/07","Neff, Janet T.","USDC: Western District of Michigan","Qm/WQmin","W. Bush",110
"","","","","W. Bush",110
"DATE","NAME OF","COURT TO WHICH","ABA","W. Bush",110
"NOMINATED","NOMINEE","NOMINATED","RATING","W. Bush",110
"3/19/07","Aycock, Sharion","USDC: Northern District of Mississippi","WQ","W. Bush",110
"3/19/07","Dugas, David Roy","USDC: Middle District of Louisiana","WQ","W. Bush",110
"3/19/07","Hall, James Randal","USDC: Southern District of Georgia","WQsm/Qmin","W. Bush",110
"3/19/07","Honaker, Richard H.","USDC: District of Wyoming","WQ","W. Bush",110
"3/19/07","Jones, Richard A.","USDC: Western District of Washington","WQ","W. Bush",110
"3/19/07","Sammartino, Janis Lynn","USDC: Southern District of California","Qm/WQmin","W. Bush",110
"3/29/07","Elrod, Jennifer Walker (TX)","Fifth Circuit","Q","W. Bush",110
"","","","WQsm/Qmin","W. Bush",110
"5/24/07","Powell, William J.","USDC: Northern District of West Virginia","(1 abstention)","W. Bush",110
"","","","WQ","W. Bush",110
"5/24/07","Thapar, Amul Roger","USDC: Eastern District of Kentucky","(1 abstention)","W. Bush",110
"6/13/07","Laplante, Joseph N.","USDC: District of New Hampshire","Q","W. Bush",110
